Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Total
feval_vampire. _	0	3	0	23	0	0	0	26
feval_vampire. papaSeverin	0	0	0	2	0	0	0	2
chevalier_filledupirate. _	108	34	0	236	1	0	194	573
chevalier_filledupirate. pers1	7	2	6	1	1	0	5	22
chevalier_filledupirate. pers3	0	0	0	0	1	0	0	1
chevalier_filledupirate. pers5	0	1	1	0	0	0	0	2
chevalier_filledupirate. pers2	1	1	0	2	4	0	2	10
chevalier_filledupirate. pers7	1	0	0	0	0	0	0	1
chevalier_filledupirate. pers8	0	0	1	0	0	0	0	1
chevalier_filledupirate. pers9	0	1	0	2	0	0	0	3
chevalier_filledupirate. pers4	3	1	0	0	0	0	3	7
chevalier_filledupirate. pers6	5	0	0	4	2	0	2	13
chevalier_filledupirate. pers11	8	1	0	3	2	0	8	22
chevalier_filledupirate. pers12	8	3	0	9	4	0	4	28
chevalier_filledupirate. pers13	0	0	0	1	1	0	0	2
chevalier_filledupirate. pers14	0	1	0	0	0	0	1	2
chevalier_filledupirate. pers15	4	2	0	1	1	0	4	12
chevalier_filledupirate. pers16	1	0	1	0	0	0	0	2
chevalier_filledupirate. pers10	2	7	0	11	3	0	5	28
chevalier_filledupirate. pers18	0	11	1	2	3	0	2	19
chevalier_filledupirate. pers19	2	1	0	0	1	0	0	4
chevalier_filledupirate. pers20	0	0	1	0	3	0	1	5
chevalier_filledupirate. pers21	0	1	0	1	1	0	0	3
chevalier_filledupirate. pers22	0	1	0	1	0	0	0	2
chevalier_filledupirate. pers23	0	3	0	0	1	0	0	4
chevalier_filledupirate. pers24	0	0	0	0	1	0	0	1
chevalier_filledupirate. pers25	0	22	2	8	8	0	7	47
chevalier_filledupirate. pers26	9	4	0	6	0	0	12	31
chevalier_filledupirate. pers27	0	0	0	1	0	0	1	2
chevalier_filledupirate. pers28	0	2	0	0	0	0	0	2
chevalier_filledupirate. pers29	1	0	0	0	0	0	3	4
chevalier_filledupirate. pers30	0	4	0	0	0	0	0	4
chevalier_filledupirate. pers31	0	0	0	1	0	0	0	1
chevalier_filledupirate. pers32	0	1	0	0	0	0	0	1
chevalier_filledupirate. pers33	0	1	0	0	0	0	2	3
chevalier_filledupirate. pers34	0	0	0	0	2	0	0	2
flaubert_madamebovary. _	0	62	1	20	11	0	0	94
flaubert_madamebovary. pers1	0	0	0	2	0	0	0	2
flaubert_madamebovary. pers2	0	8	0	2	2	0	0	12
flaubert_madamebovary. pers3	0	0	0	1	0	0	0	1
flaubert_madamebovary. pers4	0	0	0	1	0	0	0	1
flaubert_madamebovary. pers5	0	1	0	0	0	0	0	1
flaubert_madamebovary. pers6	0	2	0	2	1	0	0	5
flaubert_madamebovary. pers7	0	1	0	0	0	0	0	1
flaubert_madamebovary. pers8	0	0	0	0	1	0	0	1
merimee_carmen. _	61	11	1	78	2	0	84	237
merimee_carmen. pers1	4	2	0	4	0	0	4	14
merimee_carmen. pers2	3	2	0	2	2	0	1	10
merimee_carmen. pers14	0	0	1	0	0	0	0	1
merimee_carmen. pers4	0	0	2	0	0	0	0	2
merimee_carmen. pers6	1	21	11	13	28	0	3	77
merimee_carmen. pers7	0	0	0	0	0	0	2	2
merimee_carmen. pers3	3	6	0	18	8	0	10	45
merimee_carmen. pers10	0	2	1	3	0	0	0	6
merimee_carmen. pers8	0	0	0	0	2	0	0	2
merimee_carmen. pers9	4	0	0	1	0	0	2	7
merimee_carmen. pers11	0	0	0	1	0	0	0	1
merimee_carmen. pers12	0	0	2	1	2	0	0	5
merimee_carmen. pers13	0	2	0	0	2	0	0	4
merimee_carmen. pers15	0	4	0	1	0	0	0	5
merimee_carmen. pers16	0	0	0	2	0	0	0	2
merimee_venusdille. _	40	22	1	64	2	0	43	172
merimee_venusdille. pers1	2	19	4	13	11	0	12	61
merimee_venusdille. pers2	3	12	0	16	0	0	6	37
merimee_venusdille. pers3	1	21	0	13	10	0	11	56
merimee_venusdille. pers4	0	0	0	0	5	0	0	5
merimee_venusdille. pers5	0	0	2	0	3	0	0	5
merimee_venusdille. pers6	0	1	1	0	2	0	0	4
merimee_venusdille. pers7	0	6	0	12	4	0	4	26
merimee_venusdille. pers8	0	0	4	0	0	0	0	4
merimee_venusdille. pers10	0	0	0	1	0	0	3	4
merimee_venusdille. pers11	1	2	0	5	0	0	0	8
merimee_venusdille. pers12	0	2	0	0	0	0	0	2
merimee_venusdille. pers13	0	0	0	2	0	0	0	2
zeltner_contes. _	14	3	0	27	2	0	33	79
zeltner_contes. mere	0	0	0	0	1	0	0	1
zeltner_contes. Koli	2	7	0	14	6	0	4	33
zeltner_contes. marchands	0	3	1	4	1	0	3	12
zeltner_contes. chef	0	2	0	5	0	0	0	7
zeltner_contes. assistants	0	1	1	0	2	0	0	4
zeltner_contes. meremarchand	0	0	0	1	0	0	0	1
zeltner_contes. marchand	1	2	0	1	0	0	1	5
zeltner_contes. vxpere	0	1	0	1	1	1	1	5
zeltner_contes. sofas	0	0	0	1	0	0	0	1
zeltner_contes. roi	0	0	0	1	2	0	0	3
Total	300	336	46	648	153	1	483	1967
